"ensembl_gene_id","external_gene_name","cjacchus_homolog_ensembl_gene","cjacchus_homolog_associated_gene_name","cjacchus_homolog_orthology_type","mmusculus_homolog_ensembl_gene","mmusculus_homolog_associated_gene_name","mmusculus_homolog_orthology_type","mmulatta_homolog_ensembl_gene","mmulatta_homolog_associated_gene_name","mmulatta_homolog_orthology_type"
"ENSG00000004534","RBM6","ENSCJAG00000004620","RBM6","ortholog_one2one","ENSMUSG00000032582","Rbm6","ortholog_one2one","ENSMMUG00000003494","RBM6","ortholog_one2one"
"ENSG00000005059","MCUB","ENSCJAG00000016158","MCUB","ortholog_one2one","ENSMUSG00000027994","Mcub","ortholog_one2one","ENSMMUG00000052933","MCUB","ortholog_one2one"
"ENSG00000005436","GCFC2","ENSCJAG00000017096","GCFC2","ortholog_one2one","ENSMUSG00000035125","Gcfc2","ortholog_one2one","ENSMMUG00000018512","GCFC2","ortholog_one2one"
"ENSG00000005448","WDR54","ENSCJAG00000017568","WDR54","ortholog_one2one","ENSMUSG00000030032","Wdr54","ortholog_one2one","ENSMMUG00000002719","WDR54","ortholog_one2one"
"ENSG00000006607","FARP2","ENSCJAG00000006087","FARP2","ortholog_one2one","ENSMUSG00000034066","Farp2","ortholog_one2one","ENSMMUG00000001313","FARP2","ortholog_one2one"
"ENSG00000007341","ST7L","ENSCJAG00000013490","ST7L","ortholog_one2one","ENSMUSG00000045576","St7l","ortholog_one2one","ENSMMUG00000007766","ST7L","ortholog_one2one"
"ENSG00000007402","CACNA2D2","ENSCJAG00000005215","CACNA2D2","ortholog_one2one","ENSMUSG00000010066","Cacna2d2","ortholog_one2one","ENSMMUG00000007022","CACNA2D2","ortholog_one2one"
"ENSG00000007923","DNAJC11","ENSCJAG00000000242","DNAJC11","ortholog_one2one","ENSMUSG00000039768","Dnajc11","ortholog_one2one","ENSMMUG00000004686","DNAJC11","ortholog_one2one"
"ENSG00000008083","JARID2","ENSCJAG00000005717","JARID2","ortholog_one2one","ENSMUSG00000038518","Jarid2","ortholog_one2one","ENSMMUG00000015362","JARID2","ortholog_one2one"
"ENSG00000008118","CAMK1G","ENSCJAG00000014868","CAMK1G","ortholog_one2one","ENSMUSG00000016179","Camk1g","ortholog_one2one","ENSMMUG00000003369","CAMK1G","ortholog_one2one"
"ENSG00000008130","NADK","ENSCJAG00000010843","NADK","ortholog_one2one","ENSMUSG00000029063","Nadk","ortholog_one2one","ENSMMUG00000010879","NADK","ortholog_one2one"
"ENSG00000008300","CELSR3","ENSCJAG00000003177","CELSR3","ortholog_one2one","ENSMUSG00000023473","Celsr3","ortholog_one2one","ENSMMUG00000014707","CELSR3","ortholog_one2one"
"ENSG00000008869","HEATR5B","ENSCJAG00000003707","HEATR5B","ortholog_one2one","ENSMUSG00000039414","Heatr5b","ortholog_one2one","ENSMMUG00000014939","HEATR5B","ortholog_one2one"
"ENSG00000008952","SEC62","ENSCJAG00000002576","SEC62","ortholog_one2one","ENSMUSG00000027706","Sec62","ortholog_one2one","ENSMMUG00000021899","SEC62","ortholog_one2one"
"ENSG00000009307","CSDE1","ENSCJAG00000012565","CSDE1","ortholog_one2one","ENSMUSG00000068823","Csde1","ortholog_one2one","ENSMMUG00000001974","CSDE1","ortholog_one2one"
"ENSG00000009780","FAM76A","ENSCJAG00000009327","FAM76A","ortholog_one2one","ENSMUSG00000028878","Fam76a","ortholog_one2one","ENSMMUG00000012243","FAM76A","ortholog_one2one"
"ENSG00000010017","RANBP9","ENSCJAG00000019797","RANBP9","ortholog_one2one","ENSMUSG00000038546","Ranbp9","ortholog_one2one","ENSMMUG00000020122","RANBP9","ortholog_one2one"
"ENSG00000010072","SPRTN","ENSCJAG00000018340","SPRTN","ortholog_one2one","ENSMUSG00000031986","Sprtn","ortholog_one2one","ENSMMUG00000005244","SPRTN","ortholog_one2one"
"ENSG00000010165","METTL13","ENSCJAG00000009633","METTL13","ortholog_one2one","ENSMUSG00000026694","Mettl13","ortholog_one2one","ENSMMUG00000007266","METTL13","ortholog_one2one"
"ENSG00000010256","UQCRC1","ENSCJAG00000003132","UQCRC1","ortholog_one2one","ENSMUSG00000025651","Uqcrc1","ortholog_one2one","ENSMMUG00000014705","UQCRC1","ortholog_one2one"
"ENSG00000010318","PHF7","ENSCJAG00000006361","PHF7","ortholog_one2one","ENSMUSG00000021902","Phf7","ortholog_one2one","ENSMMUG00000016984","PHF7","ortholog_one2one"
"ENSG00000010322","NISCH","ENSCJAG00000006457","NISCH","ortholog_one2one","ENSMUSG00000021910","Nisch","ortholog_one2one","ENSMMUG00000005619","NISCH","ortholog_one2one"
"ENSG00000010803","SCMH1","ENSCJAG00000003039","SCMH1","ortholog_one2one","ENSMUSG00000000085","Scmh1","ortholog_one2one","ENSMMUG00000017104","SCMH1","ortholog_one2one"
"ENSG00000011007","ELOA","ENSCJAG00000020934","ELOA","ortholog_one2one","ENSMUSG00000028668","Eloa","ortholog_one2one","ENSMMUG00000003173","ELOA","ortholog_one2one"
"ENSG00000011009","LYPLA2","ENSCJAG00000020914","LYPLA2","ortholog_one2one","ENSMUSG00000028670","Lypla2","ortholog_one2one","ENSMMUG00000019551","LYPLA2","ortholog_one2one"
"ENSG00000011021","CLCN6","ENSCJAG00000013347","CLCN6","ortholog_one2one","ENSMUSG00000029016","Clcn6","ortholog_one2one","ENSMMUG00000007829","CLCN6","ortholog_one2one"
"ENSG00000011083","SLC6A7","ENSCJAG00000021053","SLC6A7","ortholog_one2one","ENSMUSG00000052026","Slc6a7","ortholog_one2one","ENSMMUG00000011559","SLC6A7","ortholog_one2one"
"ENSG00000011198","ABHD5","ENSCJAG00000046193","ABHD5","ortholog_one2one","ENSMUSG00000032540","Abhd5","ortholog_one2one","ENSMMUG00000001031","ABHD5","ortholog_one2one"
"ENSG00000011376","LARS2","ENSCJAG00000001949","LARS2","ortholog_one2one","ENSMUSG00000035202","Lars2","ortholog_one2one","ENSMMUG00000018020","LARS2","ortholog_one2one"
"ENSG00000011523","CEP68","ENSCJAG00000006788","CEP68","ortholog_one2one","ENSMUSG00000044066","Cep68","ortholog_one2one","ENSMMUG00000017019","CEP68","ortholog_one2one"
"ENSG00000011566","MAP4K3","ENSCJAG00000014920","MAP4K3","ortholog_one2one","ENSMUSG00000024242","Map4k3","ortholog_one2one","ENSMMUG00000013901","MAP4K3","ortholog_one2one"
"ENSG00000013016","EHD3","ENSCJAG00000071840","EHD3","ortholog_one2one","ENSMUSG00000024065","Ehd3","ortholog_one2one","ENSMMUG00000003476","EHD3","ortholog_one2one"
"ENSG00000013288","MAN2B2","ENSCJAG00000004190","MAN2B2","ortholog_one2one","ENSMUSG00000029119","Man2b2","ortholog_one2one","ENSMMUG00000005298","MAN2B2","ortholog_one2one"
"ENSG00000013293","SLC7A14","ENSCJAG00000002451","SLC7A14","ortholog_one2one","ENSMUSG00000069072","Slc7a14","ortholog_one2one","ENSMMUG00000013987","SLC7A14","ortholog_one2one"
"ENSG00000013297","CLDN11","ENSCJAG00000043153","CLDN11","ortholog_one2one","ENSMUSG00000037625","Cldn11","ortholog_one2one","ENSMMUG00000059260","CLDN11","ortholog_one2one"
"ENSG00000013441","CLK1","ENSCJAG00000004319","CLK1","ortholog_one2one","ENSMUSG00000026034","Clk1","ortholog_one2one","ENSMMUG00000006640","CLK1","ortholog_one2one"
"ENSG00000013561","RNF14","ENSCJAG00000018220","RNF14","ortholog_one2one","ENSMUSG00000060450","Rnf14","ortholog_one2one","ENSMMUG00000009768","RNF14","ortholog_one2one"
"ENSG00000014824","SLC30A9","ENSCJAG00000019226","SLC30A9","ortholog_one2one","ENSMUSG00000029221","Slc30a9","ortholog_one2one","ENSMMUG00000022782","SLC30A9","ortholog_one2one"
"ENSG00000015479","MATR3","ENSCJAG00000006888","MATR3","ortholog_one2one","ENSMUSG00000037236","Matr3","ortholog_one2one","ENSMMUG00000016741","MATR3","ortholog_one2one"
"ENSG00000016864","GLT8D1","ENSCJAG00000006883","GLT8D1","ortholog_one2one","ENSMUSG00000021916","Glt8d1","ortholog_one2one","ENSMMUG00000012526","GLT8D1","ortholog_one2one"
"ENSG00000017260","ATP2C1","ENSCJAG00000003182","ATP2C1","ortholog_one2one","ENSMUSG00000032570","Atp2c1","ortholog_one2one","ENSMMUG00000005137","ATP2C1","ortholog_one2one"
"ENSG00000018408","WWTR1","ENSCJAG00000001336","WWTR1","ortholog_one2one","ENSMUSG00000027803","Wwtr1","ortholog_one2one","ENSMMUG00000018982","WWTR1","ortholog_one2one"
"ENSG00000018510","AGPS","ENSCJAG00000021508","AGPS","ortholog_one2one","ENSMUSG00000042410","Agps","ortholog_one2one","ENSMMUG00000008502","AGPS","ortholog_one2one"
"ENSG00000018699","TTC27","ENSCJAG00000003388","TTC27","ortholog_one2one","ENSMUSG00000024078","Ttc27","ortholog_one2one","ENSMMUG00000009372","TTC27","ortholog_one2one"
"ENSG00000020129","NCDN","ENSCJAG00000001525","NCDN","ortholog_one2one","ENSMUSG00000028833","Ncdn","ortholog_one2one","ENSMMUG00000019812","NCDN","ortholog_one2one"
"ENSG00000021574","SPAST","ENSCJAG00000003248","SPAST","ortholog_one2one","ENSMUSG00000024068","Spast","ortholog_one2one","ENSMMUG00000021691","SPAST","ortholog_one2one"
"ENSG00000021826","CPS1","ENSCJAG00000010985","CPS1","ortholog_one2one","ENSMUSG00000025991","Cps1","ortholog_one2one","ENSMMUG00000010508","CPS1","ortholog_one2one"
"ENSG00000022355","GABRA1","ENSCJAG00000015200","GABRA1","ortholog_one2one","ENSMUSG00000010803","Gabra1","ortholog_one2one","ENSMMUG00000007296","GABRA1","ortholog_one2one"
"ENSG00000023228","NDUFS1","ENSCJAG00000005725","NDUFS1","ortholog_one2one","ENSMUSG00000025968","Ndufs1","ortholog_one2one","ENSMMUG00000016788","NDUFS1","ortholog_one2one"
"ENSG00000023330","ALAS1","ENSCJAG00000006000","ALAS1","ortholog_one2one","ENSMUSG00000032786","Alas1","ortholog_one2one","ENSMMUG00000005596","ALAS1","ortholog_one2one"
"ENSG00000023902","PLEKHO1","ENSCJAG00000000867","PLEKHO1","ortholog_one2one","ENSMUSG00000015745","Plekho1","ortholog_one2one","ENSMMUG00000013681","PLEKHO1","ortholog_one2one"
"ENSG00000023909","GCLM","ENSCJAG00000017899","GCLM","ortholog_one2one","ENSMUSG00000028124","Gclm","ortholog_one2one","ENSMMUG00000013857","GCLM","ortholog_one2one"
"ENSG00000025800","KPNA6","ENSCJAG00000006669","KPNA6","ortholog_one2one","ENSMUSG00000003731","Kpna6","ortholog_one2one","ENSMMUG00000008455","KPNA6","ortholog_one2one"
"ENSG00000027847","B4GALT7","ENSCJAG00000011183","B4GALT7","ortholog_one2one","ENSMUSG00000021504","B4galt7","ortholog_one2one","ENSMMUG00000029662","B4GALT7","ortholog_one2one"
"ENSG00000028116","VRK2","ENSCJAG00000009299","VRK2","ortholog_one2one","ENSMUSG00000064090","Vrk2","ortholog_one2one","ENSMMUG00000002025","VRK2","ortholog_one2one"
"ENSG00000028310","BRD9","ENSCJAG00000003867","BRD9","ortholog_one2one","ENSMUSG00000057649","Brd9","ortholog_one2one","ENSMMUG00000014738","BRD9","ortholog_one2one"
"ENSG00000030419","IKZF2","ENSCJAG00000043858","IKZF2","ortholog_one2one","ENSMUSG00000025997","Ikzf2","ortholog_one2one","ENSMMUG00000000381","IKZF2","ortholog_one2one"
"ENSG00000031003","FAM13B","ENSCJAG00000006206","FAM13B","ortholog_one2one","ENSMUSG00000036501","Fam13b","ortholog_one2one","ENSMMUG00000008009","FAM13B","ortholog_one2one"
"ENSG00000031698","SARS1","ENSCJAG00000048384","SARS1","ortholog_one2one","ENSMUSG00000068739","Sars1","ortholog_one2one","ENSMMUG00000021837","SARS1","ortholog_one2one"
"ENSG00000032389","EIPR1","ENSCJAG00000007858","EIPR1","ortholog_one2one","ENSMUSG00000036613","Eipr1","ortholog_one2one","ENSMMUG00000022879","EIPR1","ortholog_one2one"
"ENSG00000033122","LRRC7","ENSCJAG00000017648","LRRC7","ortholog_one2one","ENSMUSG00000028176","Lrrc7","ortholog_one2one","ENSMMUG00000021917","LRRC7","ortholog_one2one"
"ENSG00000033178","UBA6","ENSCJAG00000009707","UBA6","ortholog_one2one","ENSMUSG00000035898","Uba6","ortholog_one2one","ENSMMUG00000003776","UBA6","ortholog_one2one"
"ENSG00000033867","SLC4A7","ENSCJAG00000004141","SLC4A7","ortholog_one2one","ENSMUSG00000021733","Slc4a7","ortholog_one2one","ENSMMUG00000019327","SLC4A7","ortholog_one2one"
"ENSG00000034510","TMSB10","ENSCJAG00000086618","TMSB10","ortholog_one2one","ENSMUSG00000091955","Tmsb10b","ortholog_one2one","ENSMMUG00000056004","TMSB10","ortholog_one2one"
"ENSG00000034533","ASTE1","ENSCJAG00000003181","ASTE1","ortholog_one2one","ENSMUSG00000032567","Aste1","ortholog_one2one","ENSMMUG00000005142","ASTE1","ortholog_one2one"
"ENSG00000035115","SH3YL1","ENSCJAG00000011675","","ortholog_one2one","ENSMUSG00000020669","Sh3yl1","ortholog_one2one","ENSMMUG00000017096","SH3YL1","ortholog_one2one"
"ENSG00000035687","ADSS2","ENSCJAG00000017069","ADSS2","ortholog_one2one","ENSMUSG00000015961","Adss2","ortholog_one2one","ENSMMUG00000000016","ADSS2","ortholog_one2one"
"ENSG00000035928","RFC1","ENSCJAG00000020703","RFC1","ortholog_one2one","ENSMUSG00000029191","Rfc1","ortholog_one2one","ENSMMUG00000009324","RFC1","ortholog_one2one"
"ENSG00000036054","TBC1D23","ENSCJAG00000000594","TBC1D23","ortholog_one2one","ENSMUSG00000022749","Tbc1d23","ortholog_one2one","ENSMMUG00000020026","TBC1D23","ortholog_one2one"
"ENSG00000036549","ZZZ3","ENSCJAG00000006894","ZZZ3","ortholog_one2one","ENSMUSG00000039068","Zzz3","ortholog_one2one","ENSMMUG00000063855","ZZZ3","ortholog_one2one"
"ENSG00000037474","NSUN2","ENSCJAG00000008689","NSUN2","ortholog_one2one","ENSMUSG00000021595","Nsun2","ortholog_one2one","ENSMMUG00000002561","NSUN2","ortholog_one2one"
"ENSG00000037637","FBXO42","ENSCJAG00000008276","FBXO42","ortholog_one2one","ENSMUSG00000028920","Fbxo42","ortholog_one2one","ENSMMUG00000012733","FBXO42","ortholog_one2one"
"ENSG00000037749","MFAP3","ENSCJAG00000056328","MFAP3","ortholog_one2one","ENSMUSG00000020522","Mfap3","ortholog_one2one","ENSMMUG00000011989","MFAP3","ortholog_one2one"
"ENSG00000038219","BOD1L1","ENSCJAG00000012166","BOD1L1","ortholog_one2one","ENSMUSG00000061755","Bod1l","ortholog_one2one","ENSMMUG00000022027","BOD1L1","ortholog_one2one"
"ENSG00000038274","MAT2B","ENSCJAG00000015401","MAT2B","ortholog_one2one","ENSMUSG00000042032","Mat2b","ortholog_one2one","ENSMMUG00000013980","MAT2B","ortholog_one2one"
"ENSG00000038382","TRIO","ENSCJAG00000010904","TRIO","ortholog_one2one","ENSMUSG00000022263","Trio","ortholog_one2one","ENSMMUG00000015489","TRIO","ortholog_one2one"
"ENSG00000038427","VCAN","ENSCJAG00000011161","VCAN","ortholog_one2one","ENSMUSG00000021614","Vcan","ortholog_one2one","ENSMMUG00000011513","VCAN","ortholog_one2one"
"ENSG00000039123","MTREX","ENSCJAG00000001773","MTREX","ortholog_one2one","ENSMUSG00000016018","Mtrex","ortholog_one2one","ENSMMUG00000010379","MTREX","ortholog_one2one"
"ENSG00000040275","SPDL1","ENSCJAG00000004745","SPDL1","ortholog_one2one","ENSMUSG00000069910","Spdl1","ortholog_one2one","ENSMMUG00000009365","SPDL1","ortholog_one2one"
"ENSG00000040731","CDH10","ENSCJAG00000011702","CDH10","ortholog_one2one","ENSMUSG00000022321","Cdh10","ortholog_one2one","ENSMMUG00000012293","CDH10","ortholog_one2one"
"ENSG00000040933","INPP4A","ENSCJAG00000007145","INPP4A","ortholog_one2one","ENSMUSG00000026113","Inpp4a","ortholog_one2one","ENSMMUG00000022903","INPP4A","ortholog_one2one"
"ENSG00000041802","LSG1","ENSCJAG00000013962","LSG1","ortholog_one2one","ENSMUSG00000022538","Lsg1","ortholog_one2one","ENSMMUG00000010708","LSG1","ortholog_one2one"
"ENSG00000041988","THAP3","ENSCJAG00000000237","THAP3","ortholog_one2one","ENSMUSG00000039759","Thap3","ortholog_one2one","ENSMMUG00000002047","THAP3","ortholog_one2one"
"ENSG00000042445","RETSAT","ENSCJAG00000019726","RETSAT","ortholog_one2one","ENSMUSG00000056666","Retsat","ortholog_one2one","ENSMMUG00000019416","RETSAT","ortholog_one2one"
"ENSG00000042781","USH2A","ENSCJAG00000015184","USH2A","ortholog_one2one","ENSMUSG00000026609","Ush2a","ortholog_one2one","ENSMMUG00000022640","USH2A","ortholog_one2one"
"ENSG00000043143","JADE2","ENSCJAG00000004813","JADE2","ortholog_one2one","ENSMUSG00000020387","Jade2","ortholog_one2one","ENSMMUG00000000358","JADE2","ortholog_one2one"
"ENSG00000043514","TRIT1","ENSCJAG00000002620","TRIT1","ortholog_one2one","ENSMUSG00000028653","Trit1","ortholog_one2one","ENSMMUG00000016220","TRIT1","ortholog_one2one"
"ENSG00000044524","EPHA3","ENSCJAG00000008692","EPHA3","ortholog_one2one","ENSMUSG00000052504","Epha3","ortholog_one2one","ENSMMUG00000008242","EPHA3","ortholog_one2one"
"ENSG00000047188","YTHDC2","ENSCJAG00000016598","YTHDC2","ortholog_one2one","ENSMUSG00000034653","Ythdc2","ortholog_one2one","ENSMMUG00000001376","YTHDC2","ortholog_one2one"
"ENSG00000047315","POLR2B","ENSCJAG00000004118","POLR2B","ortholog_one2one","ENSMUSG00000029250","Polr2b","ortholog_one2one","ENSMMUG00000014008","POLR2B","ortholog_one2one"
"ENSG00000047365","ARAP2","ENSCJAG00000020975","ARAP2","ortholog_one2one","ENSMUSG00000037999","Arap2","ortholog_one2one","ENSMMUG00000006871","ARAP2","ortholog_one2one"
"ENSG00000047410","TPR","ENSCJAG00000005872","TPR","ortholog_one2one","ENSMUSG00000006005","Tpr","ortholog_one2one","ENSMMUG00000009081","TPR","ortholog_one2one"
"ENSG00000047579","DTNBP1","ENSCJAG00000005751","DTNBP1","ortholog_one2one","ENSMUSG00000057531","Dtnbp1","ortholog_one2one","ENSMMUG00000015363","DTNBP1","ortholog_one2one"
"ENSG00000047662","FAM184B","ENSCJAG00000012722","FAM184B","ortholog_one2one","ENSMUSG00000015879","Fam184b","ortholog_one2one","ENSMMUG00000018067","FAM184B","ortholog_one2one"
"ENSG00000047849","MAP4","ENSCJAG00000002483","MAP4","ortholog_one2one","ENSMUSG00000032479","Map4","ortholog_one2one","ENSMMUG00000003823","MAP4","ortholog_one2one"
"ENSG00000048140","TSPAN17","ENSCJAG00000007278","TSPAN17","ortholog_one2one","ENSMUSG00000025875","Tspan17","ortholog_one2one","ENSMMUG00000000144","TSPAN17","ortholog_one2one"
"ENSG00000048342","CC2D2A","ENSCJAG00000012270","CC2D2A","ortholog_one2one","ENSMUSG00000039765","Cc2d2a","ortholog_one2one","ENSMMUG00000009383","CC2D2A","ortholog_one2one"
"ENSG00000048707","VPS13D","ENSCJAG00000013580","VPS13D","ortholog_one2one","ENSMUSG00000020220","Vps13d","ortholog_one2one","ENSMMUG00000021449","VPS13D","ortholog_one2one"
"ENSG00000048991","R3HDM1","ENSCJAG00000011718","R3HDM1","ortholog_one2one","ENSMUSG00000056211","R3hdm1","ortholog_one2one","ENSMMUG00000009844","R3HDM1","ortholog_one2one"
"ENSG00000049167","ERCC8","ENSCJAG00000015351","ERCC8","ortholog_one2one","ENSMUSG00000021694","Ercc8","ortholog_one2one","ENSMMUG00000021812","ERCC8","ortholog_one2one"
"ENSG00000049192","ADAMTS6","ENSCJAG00000015704","ADAMTS6","ortholog_one2one","ENSMUSG00000046169","Adamts6","ortholog_one2one","ENSMMUG00000018100","ADAMTS6","ortholog_one2one"
"ENSG00000049239","H6PD","ENSCJAG00000042326","H6PD","ortholog_one2one","ENSMUSG00000028980","H6pd","ortholog_one2one","ENSMMUG00000016711","H6PD","ortholog_one2one"
"ENSG00000049245","VAMP3","ENSCJAG00000047745","VAMP3","ortholog_one2one","ENSMUSG00000028955","Vamp3","ortholog_one2one","ENSMMUG00000038004","VAMP3","ortholog_one2one"
"ENSG00000049246","PER3","ENSCJAG00000058235","","ortholog_one2one","ENSMUSG00000028957","Per3","ortholog_one2one","ENSMMUG00000018562","PER3","ortholog_one2one"
"ENSG00000049323","LTBP1","ENSCJAG00000003410","LTBP1","ortholog_one2one","ENSMUSG00000001870","Ltbp1","ortholog_one2one","ENSMMUG00000021436","LTBP1","ortholog_one2one"
"ENSG00000049860","HEXB","ENSCJAG00000016664","HEXB","ortholog_one2one","ENSMUSG00000021665","Hexb","ortholog_one2one","ENSMMUG00000019997","HEXB","ortholog_one2one"
"ENSG00000049883","PTCD2","ENSCJAG00000016364","PTCD2","ortholog_one2one","ENSMUSG00000021650","Ptcd2","ortholog_one2one","ENSMMUG00000017908","PTCD2","ortholog_one2one"
"ENSG00000050393","MCUR1","ENSCJAG00000016050","MCUR1","ortholog_one2one","ENSMUSG00000021371","Mcur1","ortholog_one2one","ENSMMUG00000009922","MCUR1","ortholog_one2one"
"ENSG00000050748","MAPK9","ENSCJAG00000010293","MAPK9","ortholog_one2one","ENSMUSG00000020366","Mapk9","ortholog_one2one","ENSMMUG00000001728","MAPK9","ortholog_one2one"
"ENSG00000050767","COL23A1","ENSCJAG00000012175","COL23A1","ortholog_one2one","ENSMUSG00000063564","Col23a1","ortholog_one2one","ENSMMUG00000004000","COL23A1","ortholog_one2one"
"ENSG00000051341","POLQ","ENSCJAG00000008508","POLQ","ortholog_one2one","ENSMUSG00000034206","Polq","ortholog_one2one","ENSMMUG00000007973","POLQ","ortholog_one2one"
"ENSG00000051382","PIK3CB","ENSCJAG00000002252","PIK3CB","ortholog_one2one","ENSMUSG00000032462","Pik3cb","ortholog_one2one","ENSMMUG00000008666","PIK3CB","ortholog_one2one"
"ENSG00000052723","SIKE1","ENSCJAG00000012663","SIKE1","ortholog_one2one","ENSMUSG00000027854","Sike1","ortholog_one2one","ENSMMUG00000001973","SIKE1","ortholog_one2one"
"ENSG00000052795","FNIP2","ENSCJAG00000001410","FNIP2","ortholog_one2one","ENSMUSG00000061175","Fnip2","ortholog_one2one","ENSMMUG00000030046","FNIP2","ortholog_one2one"
"ENSG00000052802","MSMO1","ENSCJAG00000009301","MSMO1","ortholog_one2one","ENSMUSG00000031604","Msmo1","ortholog_one2one","ENSMMUG00000056040","MSMO1","ortholog_one2one"
"ENSG00000053108","FSTL4","ENSCJAG00000013506","FSTL4","ortholog_one2one","ENSMUSG00000036264","Fstl4","ortholog_one2one","ENSMMUG00000003062","FSTL4","ortholog_one2one"
"ENSG00000053900","ANAPC4","ENSCJAG00000013271","ANAPC4","ortholog_one2one","ENSMUSG00000029176","Anapc4","ortholog_one2one","ENSMMUG00000004458","ANAPC4","ortholog_one2one"
"ENSG00000054116","TRAPPC3","ENSCJAG00000001734","TRAPPC3","ortholog_one2one","ENSMUSG00000028847","Trappc3","ortholog_one2one","ENSMMUG00000022499","TRAPPC3","ortholog_one2one"
"ENSG00000054118","THRAP3","ENSCJAG00000001754","THRAP3","ortholog_one2one","ENSMUSG00000043962","Thrap3","ortholog_one2one","ENSMMUG00000014622","THRAP3","ortholog_one2one"
"ENSG00000054267","ARID4B","ENSCJAG00000018055","ARID4B","ortholog_one2one","ENSMUSG00000039219","Arid4b","ortholog_one2one","ENSMMUG00000007141","ARID4B","ortholog_one2one"
"ENSG00000054277","OPN3","ENSCJAG00000017298","OPN3","ortholog_one2one","ENSMUSG00000026525","Opn3","ortholog_one2one","ENSMMUG00000005669","OPN3","ortholog_one2one"
"ENSG00000054282","SDCCAG8","ENSCJAG00000017112","SDCCAG8","ortholog_one2one","ENSMUSG00000026504","Sdccag8","ortholog_one2one","ENSMMUG00000019994","SDCCAG8","ortholog_one2one"
"ENSG00000054356","PTPRN","ENSCJAG00000011681","PTPRN","ortholog_one2one","ENSMUSG00000026204","Ptprn","ortholog_one2one","ENSMMUG00000012008","PTPRN","ortholog_one2one"
"ENSG00000054392","HHAT","ENSCJAG00000000310","HHAT","ortholog_one2one","ENSMUSG00000037375","Hhat","ortholog_one2one","ENSMMUG00000016099","HHAT","ortholog_one2one"
"ENSG00000054523","KIF1B","ENSCJAG00000005184","KIF1B","ortholog_one2one","ENSMUSG00000063077","Kif1b","ortholog_one2one","ENSMMUG00000002171","KIF1B","ortholog_one2one"
"ENSG00000055044","NOP58","ENSCJAG00000004985","NOP58","ortholog_one2one","ENSMUSG00000026020","Nop58","ortholog_one2one","ENSMMUG00000000582","NOP58","ortholog_one2one"
"ENSG00000055070","SZRD1","ENSCJAG00000043355","SZRD1","ortholog_one2one","ENSMUSG00000040842","Szrd1","ortholog_one2one","ENSMMUG00000045364","SZRD1","ortholog_one2one"
"ENSG00000055147","FAM114A2","ENSCJAG00000004547","FAM114A2","ortholog_one2one","ENSMUSG00000020523","Fam114a2","ortholog_one2one","ENSMMUG00000011988","FAM114A2","ortholog_one2one"
"ENSG00000055163","CYFIP2","ENSCJAG00000018862","CYFIP2","ortholog_one2one","ENSMUSG00000020340","Cyfip2","ortholog_one2one","ENSMMUG00000010997","CYFIP2","ortholog_one2one"
